,buy,sell
424,0.8425600000000001,1.5494399999999997
425,0.84256,1.5494399999999997
426,0.84256,1.5494399999999997
427,0.8345599999999999,1.5494399999999997
428,0.82656,1.2934400000000124
429,0.82656,1.5494399999999997
430,0.8187751999999994,
431,0.81056,
432,0.8025599999999997,1.3117733333333452
433,0.7945599999999999,1.5494399999999997
434,0.7865599999999998,
435,0.7785599999999999,
436,0.7705599999999997,1.5494399999999997
437,0.7545599999999997,1.316297142857155
438,0.7465599999999999,
439,0.73056,1.5494399999999997
440,0.7225599999999996,
441,0.7065599999999996,
442,0.6905599999999996,1.3174400000000128
443,0.68256,
444,0.6665599999999998,
445,0.6505599999999998,
446,0.6345599999999998,1.334773333333346
447,0.6185599999999998,
448,0.6025599999999998,1.5494399999999997
449,0.5865599999999996,
450,0.5705599999999997,
451,0.5545599999999997,1.333440000000013
452,0.5305599999999999,
453,0.5145599999999999,1.5494399999999997
454,0.49855999999999984,1.5494399999999997
455,0.4745599999999997,1.5494399999999997
456,0.4585599999999997,1.3504834782608826
457,0.43455999999999984,
458,0.41056000000000004,1.5494399999999997
459,0.39456,
460,0.3705599999999998,1.5494399999999997
461,0.35455999999999976,1.3594400000000129
462,0.3305599999999999,
463,0.31040612765957387,
464,0.2825599999999999,
465,0.25855999999999973,1.3574400000000137
466,0.24256000000000005,
467,0.21855999999999987,
468,0.19456,1.5494399999999997
469,0.17055999999999985,
470,0.14655999999999997,1.3654400000000142
471,0.12255999999999978,
472,0.09855999999999994,
473,0.07455999999999977,
474,0.05055999999999992,1.5494399999999997
475,0.026559999999999903,1.3743785000000144
476,0.002559999999999895,
477,,1.5494399999999997
478,,1.5494399999999997
479,,1.3814400000000144
480,,
481,,
482,,
483,,
484,,1.3894400000000147
485,,1.3894400000000147
486,,
487,,
488,,
489,,
490,,1.3974400000000151
491,,
492,,
493,,
494,,
495,,1.4054400000000153
496,,1.4054400000000151
497,,
498,,
499,,0.09063200000000009
500,,1.4134400000000156
501,,
502,,
503,,
504,,
505,,1.4214400000000158
506,,1.4214400000000158
507,,
508,,
509,,
510,,
511,,0.29239081967214864
512,,
513,,
514,,
515,,1.4374400000000163
516,,1.4374400000000163
517,,
518,,
519,,
520,,
521,,1.4602971428571567
522,,1.4454400000000167
523,,0.124418723404272
524,,
525,,
526,,1.5494399999999997
527,,1.4534400000000167
528,,1.4654400000000145
529,,
530,,
531,,
532,,
533,,1.4614400000000172
534,,1.461440000000017
535,,0.11744000000001634
536,,
537,,
538,,1.4694400000000172
539,,1.4694400000000172
540,,
541,,
542,,
543,,
544,,1.4774400000000174
545,,1.4774400000000174
546,,1.4774400000000174
547,,0.1414400000000156
548,,
549,,
550,,
551,,1.4854400000000176
552,,1.4854400000000179
553,,
554,,1.5494399999999997
555,,
556,,1.493440000000018
557,,
558,,
559,,0.16544000000001488
560,,
561,,
562,,
563,,
564,,
565,,
566,,
567,,
568,,
569,,
570,,
571,,
572,,0.21719510204083017
573,,
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,,
583,,
584,,0.21344000000001354
585,,
586,,
587,,
588,,
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,0.2374400000000131
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,,
606,,
607,,
608,,0.26144000000001244
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,0.31870315789474846
621,,
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,,
630,,
631,,
632,,0.30944000000001154
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,0.333440000000011
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,,
653,,
654,,
655,,
656,,
657,,0.3574400000000105
658,,
659,,
660,,
661,,
662,,
663,,
664,,
665,,
666,,
667,,
668,,
669,,0.3814400000000101
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,
679,,
680,,
681,,0.4054400000000095
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,0.4294400000000085
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,,
705,,0.45344000000000734
706,,
707,,
708,,
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,0.47744000000000636
718,,
719,,
